mintore_name,aid,kata,name,rarity,item_type,game
ひかるヨルノズク ★★★: 1ED [110/105]【英語版】,843217,110/105,ひかるヨルノズク ★★★ :1ED,,single,ポケカ
ひかるヨルノズク ★★★: 旧裏 [neo4 No.164],93307,NEO4NO.164,ひかるヨルノズク ★★★ : 旧裏,,single,ポケカ
ひかるライチュウ ★★★ [111/105]【英語版】,843331,111/105,ひかるライチュウ ★★★,,single,ポケカ
ひかるライチュウ ★★★: 1ED [111/105]【英語版】,843218,111/105,ひかるライチュウ ★★★ :1ED,,single,ポケカ
ひかるライチュウ ★★★: 旧裏 [neo4 No.026],93306,NEO4NO.026,ひかるライチュウ ★★★ : 旧裏,,single,ポケカ
ひかるリザードン ★★★ [107/105]【英語版】,843327,107/105,ひかるリザードン ★★★,,single,ポケカ
ひかるリザードン ★★★: 1ED [107/105]【英語版】,843214,107/105,ひかるリザードン ★★★ :1ED,,single,ポケカ
ひかるリザードン ★★★: 旧裏 [neo4 No.006],92104,NEO4NO.006,ひかるリザードン ★★★ : 旧裏,,single,ポケカ
ひかるルギア H [SM3+ 058/072],91335,058/072,ひかるルギア,H,single,ポケカ
ひかるルギア P [SM82]【英語版】,738232,SM82,ひかるルギア,P,single,ポケカ
ひかるレックウザ H [SM3+ 057/072],91334,057/072,ひかるレックウザ,H,single,ポケカ
ひふきやろう SR [M2 107/080],704398,107/080,ひふきやろう,SR,single,ポケカ
ひふきやろう U [M2 078/080],687288,078/080,ひふきやろう,U,single,ポケカ
ひふきやろう U [PFL EN 089/094]【英語版】,841938,089/094,ひふきやろう,U,single,ポケカ
ひふきやろう U: リバースホロ [PFL EN 089/094]【英語版】,842039,089/094,ひふきやろう U :リバースホロ,,single,ポケカ
ひふきやろう UR [PFL EN 119/094]【英語版】,728079,119/094,ひふきやろう,UR,single,ポケカ
ひみつのコハク ◆ [DP4],435638,DP4,ひみつのコハク ◆,,single,ポケカ
ひみつのコハク プテラ U: 1ED [BW4 066/069],404937,066/069,ひみつのコハク プテラ U :1ED,,single,ポケカ
ひみつのコハクプテラ U [XY10 071/078],389641,071/078,ひみつのコハクプテラ,U,single,ポケカ
ひみつのコハクプテラ U: 1ED [XY10 071/078],389640,071/078,ひみつのコハクプテラ U :1ED,,single,ポケカ
びっくりボックス C [SM9a 044/055],393226,044/055,びっくりボックス,C,single,ポケカ
びっくりボックス U [187/214]【英語版】,820744,187/214,びっくりボックス,U,single,ポケカ
びっくりボックス U: リバースホロ [187/214]【英語版】,845596,187/214,びっくりボックス U :リバースホロ,,single,ポケカ
びっくりボム! ◆ [PCG3 076/084],437753,076/084,びっくりボム! ◆,,single,ポケカ
びっくりボム! ◆: 1ED [PCG3 076/084],437752,076/084,びっくりボム! ◆ :1ED,,single,ポケカ
びっくりメガホン U [XY2 074/080],380784,074/080,びっくりメガホン,U,single,ポケカ
びっくりメガホン U: 1ED [XY2 074/080],380783,074/080,びっくりメガホン U :1ED,,single,ポケカ
びっくりメガホン [CP4 106/131],391123,106/131,びっくりメガホン,,single,ポケカ
ふうせん HR [213/202]【英語版】,492192,213/202,ふうせん,HR,single,ポケカ
ふうせん P [M-P 050],716322,050/M-P,ふうせん,P,single,ポケカ
ふうせん SR [M1L 084/063],664108,084/063,ふうせん,SR,single,ポケカ
ふうせん U [S1W 057/060],145570,057/060,ふうせん,U,single,ポケカ
ふうせん U [SV11B 082/086],585210,082/086,ふうせん,U,single,ポケカ
ふうせん U: モンスターボールミラー [SV11B 082/086],609743,082/086,ふうせん U :モンスターボールミラー,,single,ポケカ
ふうせん UR [MEG EN 166/132]【英語版】,705531,166/132,ふうせん,UR,single,ポケカ
ふうせん UR [S1W 075/060],93038,075/060,ふうせん,UR,single,ポケカ
ふうせん [M2a 165/193],730206,165/193,ふうせん,,single,ポケカ
ふうせん [MA 030/043],659325,030/043,ふうせん,,single,ポケカ
ふうせん [MBD 017/021],686823,017/021,ふうせん,,single,ポケカ
ふうせん [MBG 018/021],686809,018/021,ふうせん,,single,ポケカ
ふうせん [MC 688/742],740922,688/742,ふうせん,,single,ポケカ
ふうせん [MEE 014/019],866316,014/019,ふうせん,,single,ポケカ
ふうせん [MEM 013/017],866355,013/017,ふうせん,,single,ポケカ
ふうせん [MEZ 014/019],866336,014/019,ふうせん,,single,ポケカ
ふうせん [SF 017/033],379470,017/033,ふうせん,,single,ポケカ
ふうせん [SK 021/030],326672,021/030,ふうせん,,single,ポケカ
ふうせん [s4a 171/190],144627,171/190,ふうせん,,single,ポケカ
ふうせん [s8b 145/184],141191,145/184,ふうせん,,single,ポケカ
ふうせん: ミラー [MC 688/742],740923,688/742,ふうせん :ミラー,,single,ポケカ
ふうせん: ミラー [s4a 171/190],144628,171/190,ふうせん : ミラー,,single,ポケカ
ふうせん: ミラー [s8b 145/184],141192,145/184,ふうせん : ミラー,,single,ポケカ
ふうせんのみ U [84/107]【英語版】,843599,84/107,ふうせんのみ,U,single,ポケカ
ふうせんのみ U: リバースホロ [84/107]【英語版】,843600,84/107,ふうせんのみ U :リバースホロ,,single,ポケカ
ふうせんのみ [ADV 018/019](構築済みスターター「フライゴンデッキ」),431462,018/019,ふうせんのみ,,single,ポケカ
ふうせんのみ [ADV 018/019](構築済みスターター「ボーマンダデッキ」),431500,018/019,ふうせんのみ,,single,ポケカ
ふうせんのみ ◆ [ADV3 053/054],432516,053/054,ふうせんのみ ◆,,single,ポケカ
ふうせんのみ ◆: 1ED [ADV3 053/054],432515,053/054,ふうせんのみ ◆ :1ED,,single,ポケカ
ふうせんのみ ◆: 旧裏 [neo3],460714,NEO3,ふうせんのみ ◆ : 旧裏,,single,ポケカ
ふうせんのみ: 1ED [ADV 018/019](構築済みスターター「フライゴンデッキ」),431461,018/019,ふうせんのみ :1ED,,single,ポケカ
ふうせんのみ: 1ED [ADV 018/019](構築済みスターター「ボーマンダデッキ」),431499,018/019,ふうせんのみ :1ED,,single,ポケカ
ふうせんのみ: 1ED [PCG 015/015/015],444995,015/015,ふうせんのみ :1ED,,single,ポケカ
ふかそうち HR [87/078]【英語版】,487732,87/078,ふかそうち,HR,single,ポケカ
ふかそうち U [s10b 065/071],137113,065/071,ふかそうち,U,single,ポケカ
ふかそうち UR [S10b 092/071],96657,092/071,ふかそうち,UR,single,ポケカ
ふくよかミュージシャン: プロモ [S-P 119],106795,119/S-P,ふくよかミュージシャン,プロモ,single,ポケカ
ふしぎなあめ P [SV-P 159],284089,159/SV-P,ふしぎなあめ,P,single,ポケカ
ふしぎなアメ HR [105/101]【英語版】,511037,105/101,ふしぎなアメ,HR,single,ポケカ
ふしぎなアメ HR [165/145]【英語版】,493094,165/145,ふしぎなアメ,HR,single,ポケカ
ふしぎなアメ HR [SVI EN 256/198]【英語版】,486451,256/198,ふしぎなアメ,HR,single,ポケカ
ふしぎなアメ P [BW-P 138/BW-P],415493,138/BW-P,ふしぎなアメ,P,single,ポケカ
ふしぎなアメ P [SM-P 025],166732,025/SM-P,ふしぎなアメ,P,single,ポケカ
ふしぎなアメ P [SM-P](サン&ムーン「ウェルカムフェスタ ほんきをだすバトル 2位」),411016,SM-P/SM-P,ふしぎなアメ,P,single,ポケカ
ふしぎなアメ P [SM-P](サン&ムーン「ウェルカムフェスタ ほんきをだすバトル 3位」),411017,SM-P/SM-P,ふしぎなアメ,P,single,ポケカ
ふしぎなアメ P [SM-P](サン&ムーン「ウェルカムフェスタ ほんきをだすバトル 優勝」),411015,SM-P/SM-P,ふしぎなアメ,P,single,ポケカ
ふしぎなアメ P [XY-P 136],411780,136/XY-P,ふしぎなアメ,P,single,ポケカ
ふしぎなアメ SR [M1S 082/063],628175,082/063,ふしぎなアメ,SR,single,ポケカ
ふしぎなアメ U [S1H 053/060],145628,053/060,ふしぎなアメ,U,single,ポケカ
ふしぎなアメ U [SM10 082/095],393028,082/095,ふしぎなアメ,U,single,ポケカ
ふしぎなアメ U [SM5M 058/066],338354,058/066,ふしぎなアメ,U,single,ポケカ
ふしぎなアメ U [SM6 080/094],334639,080/094,ふしぎなアメ,U,single,ポケカ
ふしぎなアメ U [SM6b 055/066],391788,055/066,ふしぎなアメ,U,single,ポケカ
ふしぎなアメ U [SM7 082/096],334408,082/096,ふしぎなアメ,U,single,ポケカ
ふしぎなアメ U [SM8 079/095],335146,079/095,ふしぎなアメ,U,single,ポケカ
ふしぎなアメ U [SM9 081/095],396383,081/095,ふしぎなアメ,U,single,ポケカ
ふしぎなアメ U [SV1V 072/078],270394,072/078,ふしぎなアメ,U,single,ポケカ
ふしぎなアメ U [SV3a 053/062],136222,053/062,ふしぎなアメ,U,single,ポケカ
ふしぎなアメ U [XY5 061/070],381622,061/070,ふしぎなアメ,U,single,ポケカ
ふしぎなアメ U [s10b 066/071],137114,066/071,ふしぎなアメ,U,single,ポケカ
ふしぎなアメ U: 1ED [BW4 065/069],404936,065/069,ふしぎなアメ U :1ED,,single,ポケカ
ふしぎなアメ U: 1ED [XY5 061/070],381621,061/070,ふしぎなアメ U :1ED,,single,ポケカ
ふしぎなアメ UR [BW9 086/076],406764,086/076,ふしぎなアメ,UR,single,ポケカ
ふしぎなアメ UR [MEG EN 175/132]【英語版】,705540,175/132,ふしぎなアメ,UR,single,ポケカ
ふしぎなアメ UR [SM1+ 066/051],93115,066/051,ふしぎなアメ,UR,single,ポケカ
ふしぎなアメ UR [SV1V 107/078],110940,107/078,ふしぎなアメ,UR,single,ポケカ
ふしぎなアメ UR: 1ED [BW9 086/076],91579,086/076,ふしぎなアメ UR :1ED,,single,ポケカ
ふしぎなアメ [20th 057/072],381479,057/072,ふしぎなアメ,,single,ポケカ
ふしぎなアメ [BKB 011/018],409215,011/018,ふしぎなアメ,,single,ポケカ
ふしぎなアメ [BKW 011/018],409197,011/018,ふしぎなアメ,,single,ポケカ
ふしぎなアメ [CLF 022/032],147523,022/032,ふしぎなアメ,,single,ポケカ
ふしぎなアメ [CLK 022/032],147525,022/032,ふしぎなアメ,,single,ポケカ
ふしぎなアメ [CLL 023/032],147527,023/032,ふしぎなアメ,,single,ポケカ
ふしぎなアメ [E-ME 009/014],166674,009/014,ふしぎなアメ,,single,ポケカ
ふしぎなアメ [GBR 011/015],409694,011/015,ふしぎなアメ,,single,ポケカ
ふしぎなアメ [K+K 010/018],410347,010/018,ふしぎなアメ,,single,ポケカ
ふしぎなアメ [MA 021/043],659316,021/043,ふしぎなアメ,,single,ポケカ
ふしぎなアメ [MBG 012/021],686805,012/021,ふしぎなアメ,,single,ポケカ
ふしぎなアメ [MC 655/742],740883,655/742,ふしぎなアメ,,single,ポケカ
ふしぎなアメ [MDB 031/046],410295,031/046,ふしぎなアメ,,single,ポケカ
ふしぎなアメ [MEE 012/019],866314,012/019,ふしぎなアメ,,single,ポケカ
ふしぎなアメ [MEM 011/017],866353,011/017,ふしぎなアメ,,single,ポケカ
ふしぎなアメ [MMB 031/049],381083,031/049,ふしぎなアメ,,single,ポケカ
ふしぎなアメ [MMB 033/049],381134,033/049,ふしぎなアメ,,single,ポケカ
ふしぎなアメ [SA 015/023],377747,015/023,ふしぎなアメ,,single,ポケカ
ふしぎなアメ [SB 005/024],379491,005/024,ふしぎなアメ,,single,ポケカ
ふしぎなアメ [SC 012/020],377824,012/020,ふしぎなアメ,,single,ポケカ
ふしぎなアメ [SC 012/021],377879,012/021,ふしぎなアメ,,single,ポケカ
ふしぎなアメ [SC2 012/021],378950,012/021,ふしぎなアメ,,single,ポケカ
ふしぎなアメ [SF 012/033],379465,012/033,ふしぎなアメ,,single,ポケカ
ふしぎなアメ [SI 376/414],380524,376/414,ふしぎなアメ,,single,ポケカ
ふしぎなアメ [SK 016/030],326667,016/030,ふしぎなアメ,,single,ポケカ
ふしぎなアメ [SM1+ 046/051],389210,046/051,ふしぎなアメ,,single,ポケカ
ふしぎなアメ [SMA 045/059],389762,045/059,ふしぎなアメ,,single,ポケカ
ふしぎなアメ [SMB 003/018],390139,003/018,ふしぎなアメ,,single,ポケカ
ふしぎなアメ [SMC 014/021],390205,014/021,ふしぎなアメ,,single,ポケカ
ふしぎなアメ [SME 013/021],391812,013/021,ふしぎなアメ,,single,ポケカ
ふしぎなアメ [SMF 004/020],391866,004/020,ふしぎなアメ,,single,ポケカ
ふしぎなアメ [SMG 005/041],401479,005/041,ふしぎなアメ,,single,ポケカ
ふしぎなアメ [SMH 112/131],401395,112/131,ふしぎなアメ,,single,ポケカ
ふしぎなアメ [SMJ 021/035],393702,021/035,ふしぎなアメ,,single,ポケカ
ふしぎなアメ [SML 042/051],397411,042/051,ふしぎなアメ,,single,ポケカ
ふしぎなアメ [SMN 011/029],393726,011/029,ふしぎなアメ,,single,ポケカ
ふしぎなアメ [SV4a 163/190],151736,163/190,ふしぎなアメ,,single,ポケカ
ふしぎなアメ [SVAL 014/021],806391,014/021,ふしぎなアメ,,single,ポケカ
ふしぎなアメ [SVD 120/139],129910,120/139,ふしぎなアメ,,single,ポケカ
ふしぎなアメ [SVEL 013/020],139075,013/020,ふしぎなアメ,,single,ポケカ
ふしぎなアメ [SVF 020/038],132454,020/038,ふしぎなアメ,,single,ポケカ
ふしぎなアメ [SVG 035/049],149257,035/049,ふしぎなアメ,,single,ポケカ
ふしぎなアメ [SVHK 030/053],184260,030/053,ふしぎなアメ,,single,ポケカ
ふしぎなアメ [SVHM 030/053],184300,030/053,ふしぎなアメ,,single,ポケカ
ふしぎなアメ [SVI 053/066],214598,053/066,ふしぎなアメ,,single,ポケカ
ふしぎなアメ [SVJL 014/21],263346,014/21,ふしぎなアメ,,single,ポケカ
ふしぎなアメ [SVJP 013/19],263366,013/19,ふしぎなアメ,,single,ポケカ
ふしぎなアメ [SVK 021/044],320178,021/044,ふしぎなアメ,,single,ポケカ
ふしぎなアメ [SVM 135/175],425307,135/175,ふしぎなアメ,,single,ポケカ
ふしぎなアメ [SVN 019/045],509124,019/045,ふしぎなアメ,,single,ポケカ
ふしぎなアメ [SVOD 012/018],524979,012/018,ふしぎなアメ,,single,ポケカ
ふしぎなアメ [SVOM 013/019],524864,013/019,ふしぎなアメ,,single,ポケカ
ふしぎなアメ [SZD 011/015],409678,011/015,ふしぎなアメ,,single,ポケカ
ふしぎなアメ ◆ [ADV2 050/053],432407,050/053,ふしぎなアメ ◆,,single,ポケカ
ふしぎなアメ ◆ [DP4],435642,DP4,ふしぎなアメ ◆,,single,ポケカ
ふしぎなアメ ◆ [L2-L 071/080],166673,071/080,ふしぎなアメ ◆,,single,ポケカ
ふしぎなアメ ◆ [PCG7 048/052],437441,048/052,ふしぎなアメ ◆,,single,ポケカ
ふしぎなアメ ◆: 1ED [ADV2 050/053],432406,050/053,ふしぎなアメ ◆ :1ED,,single,ポケカ
ふしぎなアメ ◆: 1ED [DP4],435641,DP4,ふしぎなアメ ◆ :1ED,,single,ポケカ
ふしぎなアメ ◆: 1ED [L2-L 071/080],558905,071/080,ふしぎなアメ ◆ :1ED,,single,ポケカ
ふしぎなアメ ◆: 1ED [PCG7 048/052],437440,048/052,ふしぎなアメ ◆ :1ED,,single,ポケカ
ふしぎなアメ ◆: ミラー [L2-L 071/080],91666,071/080,ふしぎなアメ ◆ :ミラー,,single,ポケカ
ふしぎなアメ ◆: ミラー: 1ED [L2-L 071/080],558906,071/080,ふしぎなアメ ◆ :ミラー :1ED,,single,ポケカ
ふしぎなアメ: プロモ [S-P 52],106785,52/S-P,ふしぎなアメ,プロモ,single,ポケカ
ふしぎなアメ: プロモ [SV-P 045],111990,045/SV-P,ふしぎなアメ,プロモ,single,ポケカ
ふしぎなアメ: ミラー [CP4 107/131],166675,107/131,ふしぎなアメ :ミラー,,single,ポケカ
ふしぎなアメ: ミラー [MC 655/742],740884,655/742,ふしぎなアメ :ミラー,,single,ポケカ
ふしぎなアメ: ミラー [SA 015/023],377748,015/023,ふしぎなアメ :ミラー,,single,ポケカ
ふしぎなアメ: ミラー [SI 376/414],380525,376/414,ふしぎなアメ :ミラー,,single,ポケカ
ふしぎなアメ: ミラー [SM4+ 094/114],335942,094/114,ふしぎなアメ :ミラー,,single,ポケカ
ふしぎなアメ: ミラー [SV4a 163/190],162197,163/190,ふしぎなアメ :ミラー,,single,ポケカ
ふたごちゃん ◆ [L3 078/080],562560,078/080,ふたごちゃん ◆,,single,ポケカ
ふたごちゃん ◆: 1ED [L3 078/080],562559,078/080,ふたごちゃん ◆ :1ED,,single,ポケカ
ふたごちゃん ◆: ミラー [L3 078/080],562561,078/080,ふたごちゃん ◆ :ミラー,,single,ポケカ
ふたごちゃん ◆: ミラー: 1ED [L3 078/080],108835,078/080,ふたごちゃん ◆ :ミラー :1ED,,single,ポケカ
ふたの化石 U [BW9 067/076],406737,067/076,ふたの化石,U,single,ポケカ
ふたの化石 U: 1ED [BW2 063/066],405791,063/066,ふたの化石 U :1ED,,single,ポケカ
ふたの化石 U: 1ED [BW9 067/076],406736,067/076,ふたの化石 U :1ED,,single,ポケカ
ふっかつそう HR [180/168]【英語版】,492921,180/168,ふっかつそう,HR,single,ポケカ
ふっかつそう U [SM6b 056/066],391789,056/066,ふっかつそう,U,single,ポケカ
ふっかつそう UR [SM6b 084/066],105335,084/066,ふっかつそう,UR,single,ポケカ
ふっかつそう [ADV 014/019],431530,014/019,ふっかつそう,,single,ポケカ
ふっかつそう [B 008/010],562718,008/010,ふっかつそう,,single,ポケカ
ふっかつそう [Dpt 009/013],450778,009/013,ふっかつそう,,single,ポケカ
ふっかつそう [PCG 047/052],434750,047/052,ふっかつそう,,single,ポケカ
ふっかつそう [PCG-E 011/019],433004,011/019,ふっかつそう,,single,ポケカ
ふっかつそう [PCG-E 012/019],433022,012/019,ふっかつそう,,single,ポケカ
ふっかつそう ◆ [ADV4 073/083],432733,073/083,ふっかつそう ◆,,single,ポケカ
ふっかつそう ◆: 1ED [ADV4 073/083],432732,073/083,ふっかつそう ◆ :1ED,,single,ポケカ
ふっかつそう: 1ED [ADV 014/019],431529,014/019,ふっかつそう :1ED,,single,ポケカ
ふっかつそう: 1ED [Dpt 009/013],450777,009/013,ふっかつそう :1ED,,single,ポケカ
ふっかつそう: 1ED [PCG 047/052],434749,047/052,ふっかつそう :1ED,,single,ポケカ
ふつうのつりざお HR [215/202]【英語版】,492194,215/202,ふつうのつりざお,HR,single,ポケカ
ふつうのつりざお U [S1W 054/060],145567,054/060,ふつうのつりざお,U,single,ポケカ
ふつうのつりざお UR [S1W 074/060],91208,074/060,ふつうのつりざお,UR,single,ポケカ
ふつうのつりざお [SF 013/033],379466,013/033,ふつうのつりざお,,single,ポケカ
ふつうのつりざお [SK 017/030],326668,017/030,ふつうのつりざお,,single,ポケカ
ふつうのつりざお [s4a 164/190],144613,164/190,ふつうのつりざお,,single,ポケカ
ふつうのつりざお [s8b 139/184],141179,139/184,ふつうのつりざお,,single,ポケカ
ふつうのつりざお: ミラー [s4a 164/190],144614,164/190,ふつうのつりざお : ミラー,,single,ポケカ
ふつうのつりざお: ミラー [s8b 139/184],141180,139/184,ふつうのつりざお : ミラー,,single,ポケカ
ふりそで C [S11a 065/068],288699,065/068,ふりそで,C,single,ポケカ
ふりそで C: ミラー [S11a 065/068],288700,065/068,ふりそで C :ミラー,,single,ポケカ
ふりそで HR [s11a 090/068],95126,090/068,ふりそで,HR,single,ポケカ
ふりそで RR [205/195]【英語版】,487171,205/195,ふりそで,RR,single,ポケカ
ふりそで SR [s11a 082/068],95125,082/068,ふりそで,SR,single,ポケカ
ふりそで UR [190/195]【英語版】,487156,190/195,ふりそで,UR,single,ポケカ
ふわふわのみ U [85/115]【英語版】,844223,85/115,ふわふわのみ,U,single,ポケカ
ふわふわのみ U: リバースホロ [85/115]【英語版】,844224,85/115,ふわふわのみ U :リバースホロ,,single,ポケカ
ふわふわのみ [PCG 015/016](構築済みスターター「オーダイルex★水」),442263,015/016,ふわふわのみ,,single,ポケカ
ふわふわのみ [PCG 015/016](構築済みスターター「バクフーンex★炎」),442279,015/016,ふわふわのみ,,single,ポケカ
ふわふわのみ ◆ [PCG4 103/106],438357,103/106,ふわふわのみ ◆,,single,ポケカ
ふわふわのみ ◆: 1ED [PCG4 103/106],438356,103/106,ふわふわのみ ◆ :1ED,,single,ポケカ
ふわふわのみ: 1ED [PCG 015/016],442513,015/016,ふわふわのみ :1ED,,single,ポケカ
ぶあついうろこ [M2a 164/193],730205,164/193,ぶあついうろこ,,single,ポケカ
へラクロス U [SM3H 004/051],334986,004/051,へラクロス,U,single,ポケカ
ほしのかけら ◆ [e4 082/088],430175,082/088,ほしのかけら ◆,,single,ポケカ
ほしのかけら ◆: 1ED [e4 082/088],430174,082/088,ほしのかけら ◆ :1ED,,single,ポケカ
ぼうがいレター U [SV7a 055/064],371051,055/064,ぼうがいレター,U,single,ポケカ
ぼうけんのカバン C [SM7b 043/050],335624,043/050,ぼうけんのカバン,C,single,ポケカ
ぼうけんのカバン HR [228/214]【英語版】,492870,228/214,ぼうけんのカバン,HR,single,ポケカ
ぼうけんのカバン TR [SM12 093/095],339678,093/095,ぼうけんのカバン,TR,single,ポケカ
ぼうけんのカバン UR [SM7b 062/050],105313,062/050,ぼうけんのカバン,UR,single,ポケカ
ぼうけんのカバン [SM12a 128/173],396110,128/173,ぼうけんのカバン,,single,ポケカ
ぼうけんのカバン: ミラー [SM12a 128/173],396255,128/173,ぼうけんのカバン :ミラー,,single,ポケカ
ぼうけんのランタン SR [M6 097/076],868769,097/076,ぼうけんのランタン,SR,single,ポケカ
ぼうけんのランタン U [M6 064/076],866251,064/076,ぼうけんのランタン,U,single,ポケカ
ぼうずの修行 [L2 016/019],562681,016/019,ぼうずの修行,,single,ポケカ
ぼうずの修行 ◆ [L2-L 075/080],558920,075/080,ぼうずの修行 ◆,,single,ポケカ
ぼうずの修行 ◆: 1ED [L2-L 075/080],558918,075/080,ぼうずの修行 ◆ :1ED,,single,ポケカ
ぼうずの修行 ◆: ミラー [L2-L 075/080],558921,075/080,ぼうずの修行 ◆ :ミラー,,single,ポケカ
ぼうずの修行 ◆: ミラー: 1ED [L2-L 075/080],558919,075/080,ぼうずの修行 ◆ :ミラー :1ED,,single,ポケカ
ぼうずの修行: 1ED [L2 016/019],562680,016/019,ぼうずの修行 :1ED,,single,ポケカ
ぼんぐりの森 ◆ [e3 084/087],429983,084/087,ぼんぐりの森 ◆,,single,ポケカ
ぼんぐりの森 ◆: 1ED [e3 084/087],429982,084/087,ぼんぐりの森 ◆ :1ED,,single,ポケカ
ぼんぐり職人 SR [SM6b 075/066],105350,075/066,ぼんぐり職人,SR,single,ポケカ
ぼんぐり職人 U [SM6b 063/066],391796,063/066,ぼんぐり職人,U,single,ポケカ
ぼんぐり職人 UR [161/168]【英語版】,492903,161/168,ぼんぐり職人,UR,single,ポケカ
ぼんぐり職人 ◆ [e5 080/088],110681,080/088,ぼんぐり職人 ◆,,single,ポケカ
ぼんぐり職人 ◆: 1ED [e5 080/088],430635,080/088,ぼんぐり職人 ◆ :1ED,,single,ポケカ
まきちらせ! ベトベトガス ●: 旧裏 [PMCG4],456680,PMCG4,まきちらせ! ベトベトガス ● : 旧裏,,single,ポケカ
まけんきチョッキ U [SV4K 062/066](拡張パック「古代の咆哮」) PARADOX RIFT,146984,062/066,まけんきチョッキ,U,single,ポケカ
まけんきハチマキ CS2024: プロモ [SV-P 109],138486,109/SV-P,まけんきハチマキ CS2024,プロモ,single,ポケカ
まけんきハチマキ U [SV1S 073/078],270141,073/078,まけんきハチマキ,U,single,ポケカ
まけんきハチマキ [SV4a 168/190],162083,168/190,まけんきハチマキ,,single,ポケカ
まけんきハチマキ: ミラー [SV4a 168/190],162202,168/190,まけんきハチマキ :ミラー,,single,ポケカ
まどろみの森 U [SM11 088/094],321599,088/094,まどろみの森,U,single,ポケカ
まもりのかけら [Pt 014/016],450316,014/016,まもりのかけら,,single,ポケカ
まもりのかけら ◆ [ADV3 054/054],432518,054/054,まもりのかけら ◆,,single,ポケカ
まもりのかけら ◆: 1ED [ADV3 054/054],432517,054/054,まもりのかけら ◆ :1ED,,single,ポケカ
まもりのかけら: 1ED [PCG 023/024](構築済みデッキ「封印! サーナイトex」),442539,023/024,まもりのかけら :1ED,,single,ポケカ
まもりのかけら: 1ED [PCG 023/024](構築済みデッキ「雷震! バンギラスex」),442563,023/024,まもりのかけら :1ED,,single,ポケカ
まもりのかけら: 1ED [Pt 014/016],450315,014/016,まもりのかけら :1ED,,single,ポケカ
まもりのたま U [90/115]【英語版】,844233,90/115,まもりのたま,U,single,ポケカ
まもりのたま U: リバースホロ [90/115]【英語版】,844234,90/115,まもりのたま U :リバースホロ,,single,ポケカ
まもりのたま ◆ [PCG4 104/106],438359,104/106,まもりのたま ◆,,single,ポケカ
まもりのたま ◆: 1ED [PCG4 104/106],438358,104/106,まもりのたま ◆ :1ED,,single,ポケカ
まるのみされたピカチュウ: プロモ [S-P 105],91132,105/S-P,まるのみされたピカチュウ,プロモ,single,ポケカ
まんたんのくすり HR [121/116]【英語版】,511084,121/116,まんたんのくすり,HR,single,ポケカ
まんたんのくすり HR [164/145]【英語版】,493093,164/145,まんたんのくすり,HR,single,ポケカ
まんたんのくすり P [BW-P],415571,BW-P/BW-P,まんたんのくすり,P,single,ポケカ
まんたんのくすり P [XY-P],413476,XY-P/XY-P,まんたんのくすり,P,single,ポケカ
まんたんのくすり TR [SM9a 054/055],393236,054/055,まんたんのくすり,TR,single,ポケカ
まんたんのくすり U [BW1 051/053],405560,051/053,まんたんのくすり,U,single,ポケカ
まんたんのくすり U: 1ED [BW1 051/053],405559,051/053,まんたんのくすり U :1ED,,single,ポケカ
まんたんのくすり UR [SM2K 061/050],106159,061/050,まんたんのくすり,UR,single,ポケカ
まんたんのくすり UR: 1ED [BW8 058/051],108772,058/051,まんたんのくすり UR :1ED,,single,ポケカ
まんたんのくすり [MDB 035/046],410299,035/046,まんたんのくすり,,single,ポケカ
まんたんのくすり [SM1+ 048/051],389212,048/051,まんたんのくすり,,single,ポケカ
まんたんのくすり [SM8b 118/150],397635,118/150,まんたんのくすり,,single,ポケカ
まんたんのくすり [SMJ 023/035],393704,023/035,まんたんのくすり,,single,ポケカ
まんたんのくすり [SMM 021/031],392860,021/031,まんたんのくすり,,single,ポケカ
まんたんのくすり [XYF 012/016],381301,012/016,まんたんのくすり,,single,ポケカ
まんたんのくすり: ミラー [SM4+ 096/114],335944,096/114,まんたんのくすり :ミラー,,single,ポケカ
まんたんのくすり: ミラー [SM8b 118/150],397802,118/150,まんたんのくすり :ミラー,,single,ポケカ
みがわりロボ U [XY4 080/088],390636,080/088,みがわりロボ,U,single,ポケカ
みがわりロボ U: 1ED [XY4 080/088],390635,080/088,みがわりロボ U :1ED,,single,ポケカ
みがわりロボ [MMB 034/049],381086,034/049,みがわりロボ,,single,ポケカ
みがわりロボ フレア団ギア P [XY-P],413465,XY-P/XY-P,みがわりロボ フレア団ギア,P,single,ポケカ
みがわりロボ フレア団ギア [XY 119/171],385965,119/171,みがわりロボ フレア団ギア,,single,ポケカ
みがわりロボ フレア団ギア: ミラー [XY 119/171],386079,119/171,みがわりロボ フレア団ギア :ミラー,,single,ポケカ
みずの塔 U [s5R 069/070],144119,069/070,みずの塔,U,single,ポケカ
みずの塔 [SGI 021/022],291986,021/022,みずの塔,,single,ポケカ
みずの塔 [s8b 170/184],141239,170/184,みずの塔,,single,ポケカ
みずの塔: ミラー [s8b 170/184],141240,170/184,みずの塔 : ミラー,,single,ポケカ
みみなりベル P [SM-P 304],407432,304/SM-P,みみなりベル,P,single,ポケカ
むしとりしょうねん [SH 053/053](ファミリーポケモンカードゲーム「エースバーンV」),379594,053/053,むしとりしょうねん,,single,ポケカ
むしとりしょうねん [SH 053/053](ファミリーポケモンカードゲーム「バンギラスV」),379642,053/053,むしとりしょうねん,,single,ポケカ
