元の表記,状態,みんトレ表記,apparel_id,出どころ,件数,候補,理由
ミュウ(25th) 030/028,確定,ミュウ ふしぎなしっぽ UR [S8a 030/028],91161,在庫管理・管理画面,7,91161:ミュウ ふしぎなしっぽ UR [S8a 030/028](2) || 100083:ザマゼンタV: 色違い [SJ 030/028](-4) || 326952:ザマゼンタV [SJ 030/028](-4),
モンキー・D・ルフィ [OP09-061],確定,モンキー・D・ルフィ L [OP09-061](ブースターパック「新たなる皇帝」),349446,管理画面,7,349446:モンキー・D・ルフィ L [OP09-061](ブースターパック「新たなる皇帝」)(4) || 594480:モンキー・D・ルフィ L [OP09-061](スタートデッキ「紫黒 モンキー・D・ルフィ」)(4) || 744853:モンキー・D・ルフィ L [OP09-061](アニバーサリーセット「イングリッシュ 2nd アニバーサリーセット 日本語版」)(4) || 349447:モンキー・D・ルフィ L-P [OP09-061](2),再録と同点→初出の弾（手書きに収録の指定なし）
リザードン&テールナーGX SR [SM11a 068/064],確定,リザードン&テールナーGX SR: SA [SM11a 068/064],91281,管理画面,7,91281:リザードン&テールナーGX SR: SA [SM11a 068/064](5) || 277252:ヨマワル AR [SV6a 068/064](-8) || 380939:ハギギシリ AR [SV7a 068/064](-8),
リザードンV SR SA [S9 103/100],確定,リザードンV SR: SA [S9 103/100],91147,管理画面,7,91147:リザードンV SR: SA [S9 103/100](5) || 137044:ロトムV SR [S11 103/100](-6) || 141399:ケケンカニV SR [s8 103/100](-6) || 145054:ガラルヒヒダルマV SR [s4 103/100](-6),
リザードンVSTAR 212/172,確定,リザードンVSTAR SAR [s12a 212/172],103079,管理画面,7,103079:リザードンVSTAR SAR [s12a 212/172](2),
リザードンex 349/190,確定,リザードンex SAR [SV4a 349/190],162095,管理画面,7,162095:リザードンex SAR [SV4a 349/190](4),
リザードンex(331/190 SSR),確定,リザードンex SSR [SV4a 331/190],151753,在庫管理・管理画面,7,151753:リザードンex SSR [SV4a 331/190](5),
ルチア [SM7 104/096],確定,ルチア SR [SM7 104/096],91302,管理画面,7,91302:ルチア SR [SM7 104/096](6) || 108481:MヘラクロスEX UR: 1ED [XY3 104/096](-7) || 145432:ダイオウドウV SR [S2 104/096](-7) || 390404:MヘラクロスEX UR [XY3 104/096](-7),
レッドのピカチュウ [SM-P 270],確定,レッドのピカチュウ: プロモ [SM-P 270],107447,管理画面,7,107447:レッドのピカチュウ: プロモ [SM-P 270](4),
仰天のボルテッカー(1BOX),確定,ポケモンカードゲーム ソード & シールド 拡張パック 仰天のボルテッカー ボックス,12879,仕入れ管理シート・管理画面,7,12879:ポケモンカードゲーム ソード & シールド 拡張パック 仰天のボルテッカー ボックス(3) || 88167:ポケモンカードゲーム ソード & シールド 拡張パック 仰天のボルテッカー パック(0) || 38020:ポケモンカードゲーム ソード&シールド キョダイパックセット 仰天のボルテッカー(-2) || 38681:ポケモンカードゲーム ソード&シールド 拡張パック 仰天のボルテッカー ポケモンセンター・ポケモンストアセット(-2),型番なし・名前で一致
25th アニバーサリー コレクション ボックス(1BOX),確定,ポケモンカードゲーム ソード&シールド 拡張パック 25th アニバーサリー コレクション ボックス,14025,管理画面,6,14025:ポケモンカードゲーム ソード&シールド 拡張パック 25th アニバーサリー コレクション ボックス(3) || 88176:ポケモンカードゲーム ソード&シールド 拡張パック 25th アニバーサリー コレクション パック(0) || 14026:ポケモンカードゲーム ソード&シールド 25th アニバーサリー コレクション スペシャルセット(-4),型番なし・名前で一致
30th CELEBRATION FUTURISTIC BOX,確定,ポケモンカードゲームMEGA 特別セット「30th CELEBRATION FUTURISTIC BOX」,881424,管理画面,6,,人が選んだ（overrides）
Pokemon GO(1BOX),確定,ポケモンカードゲーム ソード&シールド 強化拡張パック ポケモン GO ボックス (ポケGO),58920,管理画面,6,,人が選んだ（overrides）
かんこうきゃく(192/173 SR),確定,かんこうきゃく SR [SM12a 192/173],91269,管理画面,6,91269:かんこうきゃく SR [SM12a 192/173](5),
なにかのPSA10 145000pt,確定,"なにかのPSA10 145,000PT",,管理画面,6,,なにかの〜・福袋（書き方の決まりで揃えた）
なみのりピカチュウVMAX(022/028),確定,なみのりピカチュウVMAX RRR [s8a 022/028],141444,管理画面,6,141444:なみのりピカチュウVMAX RRR [s8a 022/028](4) || 326944:ポケモンいれかえ [SJ 022/028](-4),
アルセウスVSTAR 262/172,確定,アルセウスVSTAR UR [s12a 262/172],105530,管理画面,6,105530:アルセウスVSTAR UR [s12a 262/172](2),
イーブイ(210/184 CHR),確定,イーブイ CHR [s8b 210/184],126673,管理画面,6,126673:イーブイ CHR [s8b 210/184](5),
ウタ SEC-SP (コミパラ) [EB03-061],確定,ウタ SEC-SP (コミパラ) [EB03-061],714426,管理画面,6,714426:ウタ SEC-SP (コミパラ) [EB03-061](7) || 767897:ウタ SEC-SP (コミパラ) [EB03-061]【英語版】(4) || 713725:ウタ SEC [EB03-061](1) || 714427:ウタ SEC-P [EB03-061](1),
ウルトラサン(1BOX),確定,ポケモンカードゲーム サン&ムーン 拡張パック ウルトラサン ボックス,15437,仕入れ管理シート・商品ごとの不足数・在庫管理・管理画面,6,,人が選んだ（overrides）
エリカのおもてなし SR [190/173],確定,エリカのおもてなし SR [SM12a 190/173],93089,管理画面,6,93089:エリカのおもてなし SR [SM12a 190/173](5),
エーフィ(マスターボールミラー)【-】{062/187} [SV8a],確定,エーフィ: マスターボールミラー [SV8a 062/187],471609,管理画面,6,,人が選んだ（overrides）
エーフィVMAX S-P 189,確定,エーフィVMAX: SA/プロモ [S-P 189],93004,仕入れ管理シート・商品ごとの不足数・在庫管理・管理画面,6,93004:エーフィVMAX: SA/プロモ [S-P 189](2),
オルタージェネシス(1BOX),確定,ポケモンカードゲーム サン&ムーン 拡張パック オルタージェネシス ボックス,12900,管理画面,6,12900:ポケモンカードゲーム サン&ムーン 拡張パック オルタージェネシス ボックス(3) || 88183:ポケモンカードゲーム サン&ムーン 拡張パック オルタージェネシス パック(0) || 39877:ポケモンカードゲーム サン&ムーン 拡張パック オルタージェネシス ポケモンセンター限定セット(-2),型番なし・名前で一致
ゲンガー&ミミッキュGX(103/095 SR)[SA],確定,ゲンガー&ミミッキュGX SR: SA [SM9 103/095],93096,管理画面,6,93096:ゲンガー&ミミッキュGX SR: SA [SM9 103/095](3) || 335166:ザオボー SR [SM8 103/095](-3) || 339685:メガミミロップ&プリンGX SR [SM12 103/095](-3) || 393045:エルフーンGX SR [SM10 103/095](-3),
サボ SEC-SP (コミパラ) [OP13-120],確定,サボ SEC-SP (コミパラ) [OP13-120],676006,管理画面,6,676006:サボ SEC-SP (コミパラ) [OP13-120](7) || 718402:サボ SEC-SP (コミパラ) [OP13-120]【英語版】(4) || 676026:サボ SEC-P [OP13-120](1) || 676007:サボ SEC-RSP (レッドコミパラ) [OP13-120](1),
シャンクス SEC-SP (コミパラ) [OP01-120],確定,シャンクス SEC-SP (コミパラ) [OP01-120](ブースターパック「ロマンスドーン」),93520,管理画面,6,93520:シャンクス SEC-SP (コミパラ) [OP01-120](ブースターパック「ロマンスドーン」)(7) || 332159:シャンクス SEC-SP (コミパラ) [OP01-120](プレミアムブースター「ONE PIECE CARD THE BEST」)(7) || 197947:シャンクス SEC-SP (コミパラ) [OP01-120]【英語版】(ブースターパック「ロマンスドーン」)(4) || 441060:シャンクス SEC-SP (コミパラ) [OP01-120]【英語版】(プレミアムブースター「ONE PIECE CARD THE BEST」)(4),再録と同点→初出の弾（手書きに収録の指定なし）
シルバーズ･レイリー SEC-SP (コミパラ) [OP08-118],確定,シルバーズ･レイリー SEC-SP (コミパラ) [OP08-118],265745,管理画面,6,265745:シルバーズ･レイリー SEC-SP (コミパラ) [OP08-118](7) || 385082:シルバーズ･レイリー SEC-SP (コミパラ) [OP08-118]【英語版】(4) || 265744:シルバーズ･レイリー SEC-P [OP08-118](1) || 265743:シルバーズ･レイリー SEC [OP08-118](1),
シロナ 153/150,確定,シロナ SR [SM8b 153/150],91296,管理画面,6,91296:シロナ SR [SM8b 153/150](4),
シロナ [SM5M 070/066],確定,シロナ SR [SM5M 070/066],91317,管理画面,6,91317:シロナ SR [SM5M 070/066](6) || 91319:ナタネ SR [SM5S 070/066](-7) || 91638:ビクティニ SR: 1ED [BW2 070/066](-7) || 105352:ジュペッタGX SR [SM6b 070/066](-7),
シロナのガブリアス ex 087/063,確定,シロナのガブリアスex SAR [SV9a 087/063],538636,仕入れ管理シートF列・在庫管理・管理画面,6,538636:シロナのガブリアスex SAR [SV9a 087/063](4) || 657363:メガフシギバナex SAR [M1L 087/063](-4) || 657365:メガサーナイトex SAR [M1S 087/063](-4),
スノーハザード(1BOX),確定,ポケモンカードゲーム スカーレット&バイオレット 拡張パック 「スノーハザード」 ボックス(スノーハザード&クレイバースト),116897,仕入れ管理シート・商品ごとの不足数・在庫管理・管理画面,6,,人が選んだ（overrides）
ソルガレオ&ルナアーラGX[SA](063/049 SR),確定,ソルガレオ&ルナアーラGX (リーリエ) SR: SA (ソルルナGX) [SM11b 063/049],91279,仕入れ管理シート・仕入れ管理シートF列・商品ごとの不足数・在庫管理・管理画面,6,91279:ソルガレオ&ルナアーラGX (リーリエ) SR: SA (ソルルナGX) [SM11b 063/049](2) || 93108:ダークライGX HR [SM2+ 063/049](-5),
タッグオールスターズ(1BOX),確定,ポケモンカードゲーム サン&ムーン ハイクラスパック タッグチームGX タッグオールスターズ ボックス,12894,仕入れ管理シート・商品ごとの不足数・管理画面,6,12894:ポケモンカードゲーム サン&ムーン ハイクラスパック タッグチームGX タッグオールスターズ ボックス(3) || 88180:ポケモンカードゲーム サン&ムーン ハイクラスパック タッグチームGX タッグオールスターズ パック(0),型番なし・名前で一致
トウホクのピカチュウ P [SV-P 260],確定,トウホクのピカチュウ P [SV-P 260],618445,管理画面,6,618445:トウホクのピカチュウ P [SV-P 260](5),
トラファルガー・ロー SEC-SP (コミパラ) [OP10-119],確定,トラファルガー・ロー SEC-SP (コミパラ) [OP10-119],442287,管理画面,6,442287:トラファルガー・ロー SEC-SP (コミパラ) [OP10-119](7) || 563133:トラファルガー・ロー SEC-SP (コミパラ) [OP10-119]【英語版】(4) || 428670:トラファルガー・ロー SEC [OP10-119](1) || 442286:トラファルガー・ロー SEC-P [OP10-119](1),
ニンフィアex 212/187,確定,ニンフィアex SAR [SV8a 212/187],455595,在庫管理・管理画面,6,455595:ニンフィアex SAR [SV8a 212/187](4),
ピカチュウ [S-P 227],確定,ピカチュウ: プロモ [S-P 227],91118,管理画面,6,91118:ピカチュウ: プロモ [S-P 227](4),
ピカチュウ(マクドナルド)020/M-P,確定,ピカチュウ P [M-P 020],671486,管理画面,6,671486:ピカチュウ P [M-P 020](4),
ピカチュウV 001/015,確定,ピカチュウV ビニールなし [S8a-G 001/015],91155,管理画面,6,91155:ピカチュウV ビニールなし [S8a-G 001/015](2) || 95803:ピカチュウV ビニール未開封 [S8a-G 001/015](-1) || 409668:ロゼリア [SZD 001/015](-4) || 409684:コイキング [GBR 001/015](-4),
ピカチュウVMAX（バンザイピカチュウ）,確定,ピカチュウVMAX(バンザイピカチュウ): プロモ [S-P 123],91130,在庫管理・管理画面,6,91130:ピカチュウVMAX(バンザイピカチュウ): プロモ [S-P 123](3),型番なし・当たる商品が1つだけ
ブラッキーV 244/184,確定,ブラッキーV CSR [S8b 244/184],96673,管理画面,6,96673:ブラッキーV CSR [S8b 244/184](4),
ブラッキーVMAX 095/069,確定,ブラッキーVMAX HR: SA [S6a 095/069],93021,管理画面,6,93021:ブラッキーVMAX HR: SA [S6a 095/069](4),
ブルーの探索 061/054,確定,ブルーの探索 SR [SM9b 061/054],91288,管理画面,6,91288:ブルーの探索 SR [SM9b 061/054](4) || 393120:ギーマ SR [SM10a 061/054](-4) || 393178:かいじゅうマニア SR [SM10b 061/054](-4),
ボア・ハンコック SR-SPC [OP01-078],確定,ボア・ハンコック SR-SPC [OP01-078],126178,管理画面,6,126178:ボア・ハンコック SR-SPC [OP01-078](7) || 198483:ボア・ハンコック SR-SPC [OP01-078]【英語版】(4) || 93516:ボア・ハンコック SR-P [OP01-078](ブースターパック ロマンスドーン)(1) || 94889:ボア・ハンコック SR [OP01-078](ブースターパック ロマンスドーン)(1),
ポケモン151(1BOX),確定,ポケモンカードゲーム スカーレット&バイオレット 強化拡張パック「ポケモンカード151」ボックス,118914,仕入れ管理シートF列・管理画面,6,,人が選んだ（overrides）
ポケモンカードゲーム 25th アニバーサリー ゴールデンボックス,確定,ポケモンカードゲーム 25th アニバーサリー ゴールデンボックス,15595,管理画面,6,15595:ポケモンカードゲーム 25th アニバーサリー ゴールデンボックス(3),型番なし・当たる商品が1つだけ
ミス・オールサンデー SR-SPC [OP14-084],確定,ミス・オールサンデー SR-SPC [OP14-084],822582,管理画面,6,822582:ミス・オールサンデー SR-SPC [OP14-084](7) || 836399:ミス・オールサンデー SR-SPC [OP14-084]【英語版】(4) || 727638:ミス・オールサンデー SR [OP14-084](1) || 728149:ミス・オールサンデー SR-P [OP14-084](1),
ムサシとコジロウ 062/054,確定,ムサシとコジロウ SR [SM10b 062/054],104603,管理画面,6,104603:ムサシとコジロウ SR [SM10b 062/054](4) || 104616:コーチトレーナー SR [SM10a 062/054](-4) || 393299:マーレイン SR [SM9b 062/054](-4),
メイ [SM11b 067/049],確定,メイ SR [SM11b 067/049],91278,管理画面,6,91278:メイ SR [SM11b 067/049](6),
メガゲッコウガex [M4 120/083],確定,メガゲッコウガex MUR [M4 120/083],776371,管理画面,6,776371:メガゲッコウガex MUR [M4 120/083](6),
メガリザードンXex [M2 110/080],確定,メガリザードンXex SAR [M2 110/080],704401,管理画面,6,704401:メガリザードンXex SAR [M2 110/080](6) || 753317:ミアレシティ SR [M3 110/080](-7),
メガルカリオex [M1L 092/063],確定,メガルカリオex MUR [M1L 092/063],663638,管理画面,6,663638:メガルカリオex MUR [M1L 092/063](6) || 546120:ハッコウシティ UR [SV9a 092/063](-7) || 663661:メガサーナイトex MUR [M1S 092/063](-7),
モンキー・D・ルフィ SEC-SPC [OP09-119],確定,モンキー・D・ルフィ SEC-SPC [OP09-119],676017,管理画面,6,676017:モンキー・D・ルフィ SEC-SPC [OP09-119](7) || 718237:モンキー・D・ルフィ SEC-SPC [OP09-119]【英語版】(4) || 349474:モンキー・D・ルフィ SEC-P [OP09-119](1) || 349475:モンキー・D・ルフィ SEC-SP (コミパラ) [OP09-119](1),
リザードン R :1ED [CP6 011/087],確定,リザードン R: 1ED [CP6 011/087],91467,管理画面,6,91467:リザードン R: 1ED [CP6 011/087](8) || 91870:ウツボット ★: 1ED [e3 011/087](-5) || 91872:ウツボット ★ [e3 011/087](-7),
リーフィア(068/SV-P),確定,リーフィア: プロモ [SV-P 068],122060,管理画面,6,122060:リーフィア: プロモ [SV-P 068](4),
リーリエのピッピex 765/742,確定,リーリエのピッピex SAR仕様 [MC 765/742],742429,管理画面,6,742429:リーリエのピッピex SAR仕様 [MC 765/742](2),
リーリエの決心【SAR】{091/063} [M1L],確定,リーリエの決心 SAR [M1L 091/063],663637,管理画面,6,663637:リーリエの決心 SAR [M1L 091/063](7) || 664124:ミツルの思いやり SAR [M1S 091/063](-6) || 546119:シロナのガブリアスex UR [SV9a 091/063](-8),
レシラムex [SV11W 174/086],確定,レシラムex BWR [SV11W 174/086],585221,管理画面,6,585221:レシラムex BWR [SV11W 174/086](6) || 585213:ゼクロムex BWR [SV11B 174/086](-7),
レックウザV SR [S7R 076/067],確定,レックウザV SR: SA [S7R 076/067],91167,在庫管理・管理画面,6,91167:レックウザV SR: SA [S7R 076/067](5) || 139512:アヤシシV SR [s10D 076/067](-6) || 139586:ヤレユータンV SR [s10P 076/067](-6) || 139715:ヒスイバクフーンV SR [s9a 076/067](-6),
ワイルドフォース(1BOX),確定,ポケモンカードゲーム スカーレット&バイオレット 拡張パック 「ワイルドフォース」 ボックス (ワイルド),171882,仕入れ管理シート・商品ごとの不足数・在庫管理・管理画面,6,171882:ポケモンカードゲーム スカーレット&バイオレット 拡張パック 「ワイルドフォース」 ボックス (ワイルド)(3) || 567439:【シュリンクなし】 ポケモンカードゲーム スカーレット&バイオレット 拡張パック 「ワイルドフォース」 ボックス (ワイルド)(1) || 171883:ポケモンカードゲーム スカーレット&バイオレット 拡張パック 「ワイルドフォース」 パック(0),型番なし・名前で一致
双璧のファイター(1BOX),確定,ポケモンカードゲーム ソード & シールド 強化拡張パック 双璧のファイター ボックス,12878,仕入れ管理シート・商品ごとの不足数・在庫管理・管理画面,6,12878:ポケモンカードゲーム ソード & シールド 強化拡張パック 双璧のファイター ボックス(3) || 88195:ポケモンカードゲーム ソード & シールド 強化拡張パック 双璧のファイター パック(0) || 32860:ポケモンカードゲーム ソード&シールド 強化拡張パック 双璧のファイター クララ&セイボリーセット(-2),型番なし・名前で一致
名探偵ピカチュウ SV-P 098,確定,名探偵ピカチュウ: プロモ [SV-P 098],135232,仕入れ管理シート・商品ごとの不足数・在庫管理・管理画面,6,135232:名探偵ピカチュウ: プロモ [SV-P 098](4),
名探偵ピカチュウ(1BOX),確定,ポケモンカードゲーム サン&ムーン ムービースペシャルパック 名探偵ピカチュウ ボックス,15555,仕入れ管理シート・商品ごとの不足数・管理画面,6,,人が選んだ（overrides）
海で遊ぶピカチュウ [SM-P 392],確定,海で遊ぶピカチュウ: プロモ [SM-P 392],107448,管理画面,6,107448:海で遊ぶピカチュウ: プロモ [SM-P 392](4),
禁断の光(1BOX),確定,ポケモンカードゲーム サン&ムーン 拡張パック 禁断の光 ボックス,15439,仕入れ管理シート・商品ごとの不足数・在庫管理・管理画面,6,15439:ポケモンカードゲーム サン&ムーン 拡張パック 禁断の光 ボックス(3) || 88264:ポケモンカードゲーム サン&ムーン 拡張パック 禁断の光 パック(0) || 44059:ポケモンカードゲーム サン&ムーン 拡張パック 禁断の光 ポケモンセンター限定セット(-2),型番なし・名前で一致
超爆インパクト(1BOX),確定,ポケモンカードゲーム サン&ムーン 拡張パック 超爆インパクト ボックス,15535,管理画面,6,15535:ポケモンカードゲーム サン&ムーン 拡張パック 超爆インパクト ボックス(3) || 335170:ポケモンカードゲーム サン&ムーン 拡張パック「超爆インパクト」パック(0) || 44055:ポケモンカードゲーム サン&ムーン 拡張パック 超爆インパクト ポケモンセンター限定セット(-2),型番なし・名前で一致
PT交換専用カード(トレキング ・ユウキ・レインボー),対象外,,,管理画面,5,,ポイント交換・演出（発送しない）
PT交換専用カード(トレキング・トレニャン・レインボー),対象外,,,管理画面,5,,ポイント交換・演出（発送しない）
PT交換専用カード(ユウキ・トレニャン・レインボー）,対象外,,,管理画面,5,,ポイント交換・演出（発送しない）
PT交換専用カード(ユウキ・トレニャン・レインボー),対象外,,,管理画面,5,,ポイント交換・演出（発送しない）
pt交換専用1pt,対象外,,,管理画面,5,,ポイント交換・演出（発送しない）
pt交換専用2pt,対象外,,,管理画面,5,,ポイント交換・演出（発送しない）
おじょうさま 100/094,確定,おじょうさま SR [SM6 100/094],91312,管理画面,5,91312:おじょうさま SR [SM6 100/094](4) || 321610:おじょうさま: エラー SR [SM6 100/094](-1) || 321604:プテラGX SR [SM11 100/094](-4),
そらをとぶピカチュウVMAX(024/028),確定,そらをとぶピカチュウVMAX RRR [s8a 024/028],141446,管理画面,5,141446:そらをとぶピカチュウVMAX RRR [s8a 024/028](4) || 326946:博士の研究(マグノリア博士) [SJ 024/028](-4),
はくばバドレックスVMAX 085/070,確定,はくばバドレックスVMAX HR: SA [S6H 085/070],93029,仕入れ管理シート・商品ごとの不足数・在庫管理・管理画面,5,93029:はくばバドレックスVMAX HR: SA [S6H 085/070](4) || 91205:大きなおまもり UR [S1a 085/070](-4) || 93034:いちげきウーラオスVMAX HR: SA [S5I 085/070](-4) || 96645:こくばバドレックスVMAX HR [S6K 085/070](-4),
ひかるコイキング(25th) 010/025,確定,ひかるコイキング: プロモ [S8a-P 010/025],91159,管理画面,5,91159:ひかるコイキング: プロモ [S8a-P 010/025](4),
アルセウス&ディアルガ&パルキアGX SR: SA (三神) [SM12 100/095],確定,アルセウス&ディアルガ&パルキアGX SR: SA (三神) [SM12 100/095],91274,管理画面,5,91274:アルセウス&ディアルガ&パルキアGX SR: SA (三神) [SM12 100/095](4) || 104644:ルギアGX SR [SM8 100/095](-7) || 129023:ピカチュウ&ゼクロムGX SR [SM9 100/095](-7) || 393043:マーシャドー&カイリキーGX SR [SM10 100/095](-7),
インフェルノx(1BOX),確定,ポケモンカードゲームMEGA 拡張パック「インフェルノX」ボックス,687430,仕入れ管理シート・仕入れ管理シートF列・商品ごとの不足数・在庫管理・管理画面,5,687430:ポケモンカードゲームMEGA 拡張パック「インフェルノX」ボックス(3) || 703025:【シュリンクなし】ポケモンカードゲームMEGA 拡張パック「インフェルノX」ボックス(1) || 687431:ポケモンカードゲームMEGA 拡張パック「インフェルノX」パック(0),型番なし・名前で一致
イーブイGX SR [SM12a 188/173],確定,イーブイGX SR: SA [SM12a 188/173],93085,管理画面,5,93085:イーブイGX SR: SA [SM12a 188/173](5),
エーフィV 081/069,確定,エーフィV SR: SA [S6a 081/069],91175,仕入れ管理シート・商品ごとの不足数・在庫管理・管理画面,5,91175:エーフィV SR: SA [S6a 081/069](4),
オリジンディアルガV 075/067,確定,オリジンディアルガV SR: SA [S10D 075/067],91140,管理画面,5,91140:オリジンディアルガV SR: SA [S10D 075/067](4) || 96562:レックウザV SR [S7R 075/067](-4) || 96646:ヒスイオオニューラV SR: SA [S10P 075/067](-4) || 139714:スターミーV SR [s9a 075/067](-4),
カイリューV 074/067,確定,カイリューV SR: SA [S7R 074/067],91166,仕入れ管理シート・商品ごとの不足数・在庫管理・管理画面,5,91166:カイリューV SR: SA [S7R 074/067](4) || 96740:オリジンディアルガV SR [S10D 074/067](-4) || 98649:オンバーンV SR: SA [S7D 074/067](-4) || 139585:ヒスイオオニューラV SR [s10P 074/067](-4),
カナザワのピカチュウ S-P 144,確定,カナザワのピカチュウ: プロモ (マークあり) [S-P 144],120250,仕入れ管理シート・商品ごとの不足数・在庫管理・管理画面,5,120250:カナザワのピカチュウ: プロモ (マークあり) [S-P 144](4),
カミツレのきらめき(246/172 SR),確定,カミツレのきらめき SR [s12a 246/172],105534,在庫管理・管理画面,5,105534:カミツレのきらめき SR [s12a 246/172](5),
ギラティナV(111/100),確定,ギラティナV SR: SA [S11 111/100],93379,管理画面,5,93379:ギラティナV SR: SA [S11 111/100](4) || 91196:ルリナ SR [S4 111/100](-4) || 96572:アルセウスV SR [S9 111/100](-4) || 96578:ヨクバリスV SR: SA [S8 111/100](-4),
グレイシアV(077/069 SR)[SA],確定,グレイシアV SR: SA [S6a 077/069],91173,仕入れ管理シート・商品ごとの不足数・在庫管理・管理画面,5,91173:グレイシアV SR: SA [S6a 077/069](3),
ゲンシグラードンEX SR :1ED [074/070],確定,ゲンシグラードンEX SR: 1ED [XY5-G 074/070],91535,管理画面,5,91535:ゲンシグラードンEX SR: 1ED [XY5-G 074/070](6) || 381644:ゲンシグラードンEX SR [XY5 074/070](5) || 107430:サメハダーEX SR: 1ED [XY5-T 074/070](-2) || 406357:ルギアEX SR: 1ED [BW7 074/070](-2),
コイキング(080/073 AR),確定,コイキング AR [SV1a 080/073],116069,管理画面,5,116069:コイキング AR [SV1a 080/073](5) || 491788:妖しいカンヅメ HR [080/073]【英語版】(-8),
サイバージャッジ(1BOX),確定,ポケモンカードゲーム スカーレット&バイオレット 拡張パック 「サイバージャッジ」 ボックス,171884,管理画面,5,171884:ポケモンカードゲーム スカーレット&バイオレット 拡張パック 「サイバージャッジ」 ボックス(3) || 567440:【シュリンクなし】 ポケモンカードゲーム スカーレット&バイオレット 拡張パック 「サイバージャッジ」 ボックス(1) || 171885:ポケモンカードゲーム スカーレット&バイオレット 拡張パック 「サイバージャッジ」 パック(0),型番なし・名前で一致
サンジ SEC-SP (コミパラ) [OP06-119],確定,サンジ SEC-SP (コミパラ) [OP06-119],653291,管理画面,5,653291:サンジ SEC-SP (コミパラ) [OP06-119](7) || 158398:サンジ SEC [OP06-119](1) || 159665:サンジ SEC-P [OP06-119](1) || 520533:サンジ SEC-SPC [OP06-119](1),
サンダースV 079/069,確定,サンダースV SR: SA [S6a 079/069],91174,仕入れ管理シート・商品ごとの不足数・在庫管理・管理画面,5,91174:サンダースV SR: SA [S6a 079/069](4),
シャイニースター(1BOX),確定,ポケモンカードゲーム ソード & シールド ハイクラスパック シャイニースターV ボックス,12875,管理画面,5,12875:ポケモンカードゲーム ソード & シールド ハイクラスパック シャイニースターV ボックス(3) || 88181:ポケモンカードゲーム ソード & シールド ハイクラスパック シャイニースターV パック(0) || 38019:ポケモンカードゲーム ソード&シールド ハイクラスパック シャイニースターV ルリナセット(-2),型番なし・名前で一致
スカーレット(1BOX),確定,ポケモンカードゲーム スカーレット&バイオレット 拡張パック「スカーレットex」ボックス (スカーレット),106863,仕入れ管理シート・管理画面,5,,人が選んだ（overrides）
スペースジャグラー(1BOX),確定,ポケモンカードゲーム ソード&シールド 拡張パック スペースジャグラー ボックス,66739,仕入れ管理シート・管理画面,5,66739:ポケモンカードゲーム ソード&シールド 拡張パック スペースジャグラー ボックス(3) || 88197:ポケモンカードゲーム ソード&シールド 拡張パック スペースジャグラー パック(0),型番なし・名前で一致
ゼクロム(195/184 CHR),確定,ゼクロム (N) CHR [s8b 195/184],126667,在庫管理・管理画面,5,126667:ゼクロム (N) CHR [s8b 195/184](3),
ソニア 077/070,確定,ソニア SR [S1a 077/070],91203,管理画面,5,91203:ソニア SR [S1a 077/070](4) || 91189:バンギラスV SR: SA [S5I 077/070](-4) || 91533:センパイとコウハイ SR: 1ED [XY5-G 077/070](-4) || 91598:リザードン UR: 1ED [BW7 077/070](-4),
ゾロ十郎 R-SPC [OP05-067],確定,ゾロ十郎 R-SPC [OP05-067],349481,管理画面,5,349481:ゾロ十郎 R-SPC [OP05-067](7) || 471529:ゾロ十郎 R-SPC [OP05-067]【英語版】(4) || 135421:ゾロ十郎 R-P [OP05-067](1) || 135587:ゾロ十郎 R [OP05-067](ブースターパック 新時代の主役)(1),
ダークファンタズマ(1BOX),確定,ポケモンカードゲーム ソード&シールド 強化拡張パック ダークファンタズマ ボックス,74242,仕入れ管理シート・管理画面,5,74242:ポケモンカードゲーム ソード&シールド 強化拡張パック ダークファンタズマ ボックス(3) || 88200:ポケモンカードゲーム ソード&シールド 強化拡張パック ダークファンタズマ パック(0),型番なし・名前で一致
トラファルガー・ロー SR-SP (コミパラ) [OP05-069],確定,トラファルガー・ロー SR-SP (コミパラ) [OP05-069](ブースターパック「新時代の主役」),135449,管理画面,5,135449:トラファルガー・ロー SR-SP (コミパラ) [OP05-069](ブースターパック「新時代の主役」)(7) || 332166:トラファルガー・ロー SR-SP (コミパラ) [OP05-069](プレミアムブースター「ONE PIECE CARD THE BEST」)(7) || 198637:トラファルガー・ロー SR-SP (コミパラ) [OP05-069]【英語版】(ブースターパック「新時代の主役」)(4) || 441067:トラファルガー・ロー SR-SP (コミパラ) [OP05-069]【英語版】(プレミアムブースター「ONE PIECE CARD THE BEST」)(4),再録と同点→初出の弾（手書きに収録の指定なし）
ナイトワンダラー(1BOX),確定,ポケモンカードゲーム スカーレット&バイオレット 強化拡張パック 「ナイトワンダラー」 ボックス,261657,仕入れ管理シート・商品ごとの不足数・管理画面,5,261657:ポケモンカードゲーム スカーレット&バイオレット 強化拡張パック 「ナイトワンダラー」 ボックス(3) || 567443:【シュリンクなし】 ポケモンカードゲーム スカーレット&バイオレット 強化拡張パック 「ナイトワンダラー」 ボックス(1) || 261658:ポケモンカードゲーム スカーレット&バイオレット 強化拡張パック 「ナイトワンダラー」 パック(0),型番なし・名前で一致
